proportion_correct,bias,recall,precision,kappa,f1,csi,far,site,stage,dem_type,strategy
0.9129,2.8099,0.8347,0.2971,0.4023,0.4382,0.2806,0.7029,kansas_city_103rdSt,87,all,majority_>= 3
0.9347,2.0248,0.7107,0.351,0.4394,0.4699,0.3071,0.649,kansas_city_103rdSt,87,all,majority_>= 4
0.9549,1.2727,0.5826,0.4578,0.4894,0.5127,0.3447,0.5422,kansas_city_103rdSt,87,all,majority_>= 5
0.9623,0.719,0.3967,0.5517,0.4426,0.4615,0.3,0.4483,kansas_city_103rdSt,87,all,majority_>= 6
0.9625,0.2355,0.157,0.6667,0.2424,0.2542,0.1456,0.3333,kansas_city_103rdSt,87,all,majority_>= 7
0.9253,2.4463,0.8058,0.3294,0.435,0.4676,0.3052,0.6706,kansas_city_103rdSt,87,all,f-weighted
0.9467,1.5413,0.6157,0.3995,0.4578,0.4846,0.3197,0.6005,kansas_city_103rdSt,87,all,edge-weighted
0.9478,2.2584,0.9859,0.4366,0.5816,0.6052,0.4339,0.5634,kansas_city_103rdSt,87,usgs,single
0.8528,1.2579,0.8281,0.6583,0.6336,0.7335,0.5791,0.3417,kansas_city_103rdSt,100,fabdem,single
0.796,1.3943,0.7725,0.554,0.5074,0.6452,0.4763,0.446,kansas_city_103rdSt,100,aster,single
0.8266,1.0346,0.6533,0.6315,0.5279,0.6422,0.473,0.3685,kansas_city_103rdSt,100,aw3d30,single
0.8427,0.8163,0.5807,0.7113,0.5401,0.6394,0.4699,0.2887,kansas_city_103rdSt,100,copdem,single
0.8328,0.4643,0.379,0.8163,0.4325,0.5177,0.3493,0.1837,kansas_city_103rdSt,100,gedtm,single
0.8289,1.054,0.6653,0.6312,0.5349,0.6478,0.4791,0.3688,kansas_city_103rdSt,100,nasadem,single
0.8268,1.1298,0.6988,0.6185,0.541,0.6562,0.4883,0.3815,kansas_city_103rdSt,100,srtm,single
0.7587,1.8047,0.9092,0.5038,0.4868,0.6484,0.4797,0.4962,kansas_city_103rdSt,100,all,majority_>= 1
0.817,1.4869,0.8693,0.5846,0.5747,0.6991,0.5374,0.4154,kansas_city_103rdSt,100,all,majority_>= 2
0.8479,1.2228,0.8006,0.6547,0.6173,0.7203,0.5629,0.3453,kansas_city_103rdSt,100,all,majority_>= 3
0.87,0.9718,0.7201,0.741,0.6447,0.7304,0.5753,0.259,kansas_city_103rdSt,100,all,majority_>= 4
0.8654,0.7153,0.5825,0.8144,0.597,0.6792,0.5143,0.1856,kansas_city_103rdSt,100,all,majority_>= 5
0.8513,0.5323,0.4622,0.8682,0.522,0.6032,0.4319,0.1318,kansas_city_103rdSt,100,all,majority_>= 6
0.8148,0.2813,0.262,0.9315,0.3379,0.409,0.2571,0.0685,kansas_city_103rdSt,100,all,majority_>= 7
0.8683,1.0227,0.7421,0.7256,0.6463,0.7338,0.5795,0.2744,kansas_city_103rdSt,100,all,f-weighted
0.8641,0.6836,0.564,0.8249,0.5881,0.6699,0.5037,0.1751,kansas_city_103rdSt,100,all,edge-weighted
